,ssc_p,hsc_p,degree_p,etest_p,mba_p,status,workex_Yes,ssc_b_Others,specialisation_Mkt&HR,gender_M,degree_t_Others,degree_t_Sci&Tech,hsc_b_Others,hsc_s_Commerce,hsc_s_Science
0,0.5382395382395382,0.8896210873146622,0.19512195121951237,0.10416666666666674,0.2844827586206895,Placed,0,1,1,1,0,1,1,1,0
1,0.792413935271078,0.6808896210873145,0.6702439024390245,0.7604166666666667,0.5648425787106448,Placed,1,0,0,1,0,1,1,0,1
2,0.49701092558235405,0.5107084019769357,0.3414634146341464,0.5208333333333335,0.24700149925037485,Placed,0,0,0,1,0,0,0,0,0
3,0.31148216862502576,0.2471169686985173,0.04878048780487809,0.3333333333333335,0.3080959520239879,Not Placed,0,0,1,1,0,1,0,0,1
4,0.9257884972170685,0.6029654036243821,0.5682926829268293,0.9750000000000001,0.16079460269865065,Placed,0,0,0,1,0,0,0,1,0
5,0.2908678622964338,0.2108731466227347,0.4207317073170733,0.10416666666666674,0.013868065967016285,Not Placed,1,1,0,1,0,1,1,0,1
6,0.10533910533910529,0.20098846787479407,0.7073170731707319,0.5058333333333334,0.07796101949025469,Not Placed,0,1,0,0,0,0,1,1,0
7,0.8474541331684189,0.4448105436573311,0.3902439024390245,0.35416666666666674,0.40967016491754116,Placed,1,0,0,1,0,1,0,0,1
8,0.6619253762110904,0.6919275123558484,0.5365853658536586,0.8612500000000001,0.3778110944527735,Placed,0,0,0,1,0,0,0,1,0
9,0.3527107812822099,0.5436573311367381,0.2682926829268293,0.08333333333333348,0.03748125937031488,Not Placed,0,0,0,1,0,0,0,1,0
10,0.3527107812822099,0.3953871499176276,0.24390243902439024,0.25,0.3613193403298349,Placed,1,0,1,1,0,0,0,1,0
11,0.5918367346938773,0.5172981878088962,0.6902439024390243,0.20833333333333348,0.46814092953523234,Placed,1,0,0,1,0,0,0,1,0
12,0.12595341166769736,0.2965403624382207,0.36585365853658547,0.25,0.5183658170914542,Not Placed,0,0,1,0,0,0,1,0,1
13,0.7443826015254587,0.8237232289950576,0.2195121951219512,0.375,0.6529235382308842,Placed,0,0,0,0,0,0,0,1,0
14,0.43516800659657795,0.1647446457990115,0.0,0.5416666666666667,0.14055472263868074,Not Placed,0,0,1,1,0,0,0,1,0
15,0.49701092558235405,0.6260296540362438,0.46341463414634165,0.4583333333333335,0.5041229385307346,Placed,1,0,0,0,0,0,0,1,0
16,0.45578231292517013,0.48105436573311366,0.3804878048780487,0.20833333333333348,0.42466266866566693,Placed,1,0,0,1,0,0,0,1,0
17,0.2908678622964338,0.4942339373970346,0.3414634146341464,0.20833333333333348,0.6023238380809595,Not Placed,0,0,0,0,0,0,0,1,0
18,0.45578231292517013,0.4777594728171335,0.3414634146341464,0.375,0.48238380809595194,Not Placed,0,0,1,0,0,0,0,1,0
19,0.3939393939393938,0.4942339373970346,0.4878048780487805,0.010000000000000009,1.0,Placed,1,1,0,1,0,0,1,0,0
20,0.43516800659657795,0.4612850082372322,0.3902439024390245,0.0,0.2057721139430284,Placed,0,1,1,1,0,0,1,1,0
21,0.7856112141826428,0.6425041186161449,0.853658536585366,0.9375,0.6690404797601199,Placed,0,1,0,0,0,0,1,1,0
22,0.5959595959595958,0.3920922570016474,0.5421951219512198,0.11520833333333336,0.6596701649175412,Placed,0,1,1,0,0,1,1,0,1
23,0.7526283240568956,0.3789126853377265,0.3595121951219511,0.875,0.4651424287856072,Placed,1,1,0,0,0,1,1,0,1
24,0.7340754483611627,1.0,0.7039024390243904,0.9875000000000003,0.8545727136431784,Placed,0,1,0,1,0,1,1,0,1
25,0.24098124098124085,0.2899505766062602,0.004878048780488031,0.5416666666666667,0.5292353823088454,Not Placed,1,1,0,0,0,0,0,1,0
26,0.6206967635539065,0.6919275123558484,0.3902439024390245,0.9166666666666667,0.23763118440779607,Placed,1,1,0,1,0,0,1,1,0
27,0.45578231292517013,0.4942339373970346,0.3902439024390245,0.375,0.2428785607196402,Placed,0,1,1,1,0,0,1,1,0
28,0.7394351680065967,0.6507413509060955,0.4268292682926831,0.4864583333333332,0.4850074962518742,Placed,1,1,0,1,0,0,1,1,0
29,0.43516800659657795,0.4942339373970346,0.19512195121951237,0.5625,0.0029985007496251548,Not Placed,0,0,0,1,0,0,0,1,0
30,0.4763966192537621,0.601317957166392,0.5609756097560976,0.04166666666666674,0.2057721139430284,Placed,0,0,1,0,0,0,0,1,0
31,0.5382395382395382,0.2635914332784184,0.36585365853658547,0.29166666666666674,0.2664917541229386,Not Placed,0,0,1,0,0,1,0,0,1
32,0.414553700267986,0.7248764415156508,0.40000000000000013,0.01854166666666668,0.41229385307346345,Placed,0,0,1,0,0,0,0,1,0
33,0.9505256648113791,0.4612850082372322,0.7560975609756098,0.7916666666666667,0.8084707646176912,Placed,1,1,0,0,0,0,1,0,1
34,0.43516800659657795,0.2306425041186161,0.04878048780487809,0.38416666666666677,0.43328335832083953,Not Placed,0,1,1,1,1,0,1,0,1
35,0.5794681508967223,0.6754530477759473,0.5365853658536586,0.4375,0.43215892053973004,Placed,0,0,1,0,0,0,0,1,0
36,0.20841063698206552,0.11532125205930799,0.17073170731707332,0.29166666666666674,0.008995502248875686,Not Placed,0,0,0,1,0,0,0,1,0
37,0.7856112141826428,0.6425041186161449,0.3804878048780487,0.16666666666666674,0.15967016491754116,Placed,0,0,1,0,0,1,0,0,1
38,0.6619253762110904,0.3459637561779242,0.3902439024390245,0.07708333333333339,0.21176911544227872,Placed,0,1,1,0,0,0,1,0,1
